depth,mean_yrsBP,sd_age
687.6,342.06,49
688.5,342.6,49
689.5,343.13,49
690.4,343.67,49
691.3,344.2,49
692.2,344.74,49
693.1,345.27,49
694,345.81,49
695,346.34,48.66
695.9,346.88,48.12
696.8,347.41,48
697.7,347.95,48
698.6,348.48,48
699.6,349.02,48
700.5,349.55,48
701.4,350.09,48
702.3,350.62,48
703.2,351.16,48
704.2,351.69,48
705.1,352.23,48
706,352.76,48
706.9,353.3,48
707.8,353.83,48
708.8,354.37,48
709.7,354.9,48
710.6,355.44,48
711.5,355.97,48
712.4,356.5,48
713.4,357.04,48
714.3,357.57,48
715.2,358.11,48
716.1,358.64,48
717,359.18,47.82
718,359.71,47.29
718.9,360.25,47
719.8,360.78,47
720.7,361.32,47
721.6,361.85,47
722.5,362.39,47
723.5,362.92,47
724.4,363.46,47
725.3,363.99,47
726.2,364.53,47
727.1,365.06,47
728.1,365.6,47
729,366.13,47
729.9,366.67,47
730.8,367.2,47
731.7,367.74,47
732.7,368.27,47
733.6,368.81,47
734.5,369.34,47
735.4,369.88,47
736.3,370.41,46.59
737.3,370.95,46.05
738.2,371.48,46
739.1,372.02,46
740,372.55,46
740.9,373.09,46
741.9,373.62,46
742.8,374.15,46
743.7,374.69,46
744.6,375.22,46
745.5,375.76,46
746.4,376.29,46
747.4,376.83,46
748.3,377.36,46
749.2,377.9,46
750.1,378.43,46
751,378.97,46
752,379.5,46
752.9,380.04,45.96
753.8,380.57,45.43
754.7,381.11,45
755.6,381.64,45
756.6,382.18,45
757.5,382.71,45
758.4,383.25,45
759.3,383.78,45
760.2,384.32,45
761.2,384.85,45
762.1,385.77,45
763,386.84,45
763.9,387.46,45
764.8,387.99,45
765.8,388,45
766.7,388.12,45
767.6,389.19,45
768.5,390.13,44.87
769.4,390.67,44.33
770.3,391,44
771.3,391,44
772.2,391.27,44
773.1,391.8,44
774,392.34,44
774.9,392.87,44
775.9,393.41,44
776.8,393.94,44
777.7,394.48,44
778.6,395.01,44
779.5,395.55,44
780.5,396.08,44
781.4,396.62,44
782.3,397.31,43.85
783.2,398.38,43.31
784.1,399.22,43
785.1,399.76,43
786,400.29,43
786.9,400.83,43
787.8,401.36,43
788.7,401.9,43
789.7,402.43,43
790.6,402.97,43
791.5,403.5,43
792.4,404.04,43
793.3,404.57,43
794.3,405.11,43
795.2,405.64,43
796.1,406.18,42.82
797,406.71,42.29
797.9,407.25,42
798.8,407.78,42
